Depth_BML,Temperature,Age,Beta
6300,417.982487261616,47.25,12.0
6400,423.9822092816416,48.0,12.0
6500,429.98193130166726,48.75,12.0
6600,435.9816533216929,49.5,12.0
6700,441.98137534171855,50.25,12.0
6800,447.9810973617442,51.0,12.0
6900,453.98081938176983,51.75,12.0
7000,459.9805414017955,52.5,12.0
7100,465.9802634218211,53.25,12.0
7200,471.9799854418468,54.0,12.0
7300,477.97970746187247,54.75,12.0
7400,483.9794294818981,55.5,12.0
7500,489.97915150192375,56.25,12.0
7600,495.9788735219494,57.0,12.0
7700,501.9785955419751,57.75,12.0
7800,507.9783175620007,58.5,12.0
7900,513.9780395820264,59.25,12.0
0,40.0,0.0,6.6
100,45.81118375340725,0.75,6.6001312296892305
200,51.6223675068145,1.5,6.600326009458141
300,57.433551260221755,2.25,6.600612555339212
400,63.24473501362901,3.0,6.601030490462806
500,69.05591876703625,3.75,6.60163500536548
600,74.86710252044351,4.5,6.602502368249815
700,80.67828627385076,5.25,6.603737165155344
800,86.48947002725801,6.0,6.605481736941309
900,92.30065378066526,6.75,6.607928378922855
1000,98.1118375340725,7.5,6.611334977281965
1100,103.92302128747976,8.25,6.616044867706913
1200,109.73420504088702,9.0,6.622511803775656
1300,115.54538879429428,9.75,6.6313309933273565
1400,121.35657254770152,10.5,6.643277163141437
1500,127.16775630110877,11.25,6.659350485130648
1600,132.97894005451602,12.0,6.680830846255185
1700,138.7901238079233,12.75,6.709340226519924
1800,144.60130756133051,13.5,6.746911657292854
1900,150.41249131473776,14.25,6.796061079242501
2000,156.223675068145,15.0,6.85985503580791
2100,162.0348588215523,15.75,6.941962096973231
2200,167.84604257495954,16.5,7.046668813603057
2300,173.6572263283668,17.25,7.178831701279355
2400,179.46841008177404,18.0,7.343725746861935
2500,185.2795938351813,18.75,7.546739087858302
2600,191.09077758858857,19.5,7.792857112703989
2700,196.9019613419958,20.25,8.085885191616608
2800,202.71314509540304,21.0,8.427389923670784
2900,208.52432884881028,21.75,8.815409770620683
3000,214.33551260221753,22.5,9.24311021934732
3100,220.1466963556248,23.25,9.697732688868497
3200,225.95788010903203,24.0,10.160367551567068
3300,231.76906386243928,24.75,10.607164503268006
3400,237.58024761584653,25.5,11.012412802437504
3500,243.39143136925375,26.25,11.353328462280867
3600,249.20261512266103,27.0,11.615413102974715
3700,255.01379887606828,27.75,11.796329401766137
3800,260.8249826294755,28.5,11.906171179524598
3900,266.6361663828828,29.25,11.96341963808567
4000,272.44735013629,30.0,11.988316139755046
4100,278.2585338896973,30.75,11.99705664125472
4200,284.0697176431046,31.5,11.999440611878867
4300,289.8809013965118,32.25,11.999923848057731
4400,295.6920851499191,33.0,11.999993008729607
4500,301.5032689033263,33.75,11.999999596399247
4600,307.3144526567336,34.5,11.999999986488554
4700,313.12563641014077,35.25,11.999999999761105
4800,318.9368201635481,36.0,11.999999999997996
4900,324.74800391695527,36.75,11.999999999999991
5000,330.5591876703626,37.5,12.0
5100,336.37037142376977,38.25,12.0
5200,342.1815551771771,39.0,12.0
5300,347.99273893058427,39.75,12.0
5400,353.8039226839916,40.5,12.0
5500,359.6151064373988,41.25,12.0
5600,365.42629019080607,42.0,12.0
5700,371.2374739442133,42.75,12.0
5800,377.04865769762057,43.5,12.0
5900,382.8598414510278,44.25,12.0
6000,388.67102520443507,45.0,12.0
6100,394.4822089578423,45.75,12.0
6200,400.2933927112496,46.5,12.0
6300,406.1045764646568,47.25,12.0
6400,411.91576021806407,48.0,12.0
6500,417.7269439714713,48.75,12.0
6600,423.53812772487856,49.5,12.0
6700,429.3493114782858,50.25,12.0
6800,435.16049523169306,51.0,12.0
6900,440.9716789851003,51.75,12.0
7000,446.7828627385075,52.5,12.0
7100,452.5940464919148,53.25,12.0
7200,458.40523024532206,54.0,12.0
7300,464.2164139987293,54.75,12.0
7400,470.02759775213656,55.5,12.0
7500,475.83878150554386,56.25,12.0
7600,481.64996525895106,57.0,12.0
7700,487.4611490123583,57.75,12.0
7800,493.2723327657655,58.5,12.0
7900,499.08351651917286,59.25,12.0
0,40.0,0.0,6.6
100,45.37249855202218,0.75,6.60012732791918
200,50.744997104044366,1.5,6.600310938698672
300,56.11749565606655,2.25,6.600573696251022
400,61.48999420808873,3.0,6.600946942103224
500,66.86249276011091,3.75,6.601473338360438
600,72.2349913121331,4.5,6.6022105613254904
700,77.60748986415528,5.25,6.603236067416962
800,82.97998841617746,6.0,6.604653200373376
900,88.35248696819966,6.75,6.606598962462554
1000,93.72498552022182,7.5,6.609253831571339
1100,99.097484072244,8.25,6.612854068280559
1200,104.4699826242662,9.0,6.617707017723289
1300,109.84248117628836,9.75,6.624209962006787
1400,115.21497972831057,10.5,6.632873106591429
1500,120.58747828033276,11.25,6.644347266376437
1600,125.95997683235493,12.0,6.659456720427343
1700,131.33247538437712,12.75,6.679237477322523
1800,136.7049739363993,13.5,6.704980761736357
1900,142.07747248842148,14.25,6.738280792648744
2000,147.44997104044364,15.0,6.781084733756402
2100,152.82246959246584,15.75,6.83574087861202
2200,158.19496814448803,16.5,6.905038479725709
2300,163.56746669651022,17.25,6.99222894000455
2400,168.9399652485324,18.0,7.10101323513984
2500,174.31246380055458,18.75,7.2354745346785645
2600,179.68496235257675,19.5,7.399928629089528
2700,185.05746090459897,20.25,7.598659413882527
2800,190.42995945662113,21.0,7.835505173239436
2900,195.8024580086433,21.75,8.113268467087252
3000,201.1749565606655,22.5,8.432944792415299
3100,206.5474551126877,23.25,8.792810654522874
3200,211.91995366470985,24.0,9.187485913505071
